Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
3804,65,HONORARY,E,DR JOHN DIGSBY,DR,,E DR JOHN DIGSBY DR,,700,739,13400,S
3200,66,ALIAS,E,135,PL,,E 135 PL,,200,299,13532,S
3201,67,ALIAS,E,135,ST,,E 135 ST,,2500,3699,13500,S
3202,68,ALIAS,E,136,PL,,E 136 PL,,200,399,13632,S
3203,69,ALIAS,E,136,ST,,E 136 ST,,200,3699,13600,S
3204,70,ALIAS,E,137,ST,,E 137 ST,,250,2621,13700,S
3205,71,ALIAS,E,138,ST,,E 138 ST,,200,1399,13800,S
3186,72,ALIAS,E,13,ST,,E 13 ST,,1,299,1300,S
3206,73,ALIAS,E,14,PL,,E 14 PL,,1,35,1432,S
3207,74,ALIAS,E,14,ST,,E 14 ST,,1,299,1400,S
3208,75,ALIAS,E,15,PL,,E 15 PL,,200,299,1532,S
3209,76,ALIAS,E,16,ST,,E 16 ST,,1,299,1600,S
3210,77,ALIAS,E,17,ST,,E 17 ST,,300,399,1700,S
3211,78,ALIAS,E,18,ST,,E 18 ST,,1,509,1800,S
3212,79,ALIAS,E,21,ST,,E 21 ST,,1,399,2100,S
3214,80,ALIAS,E,23,DR,,E 23 DR,,400,518,2300,S
3215,81,ALIAS,E,23,ST,,E 23 ST,,1,367,2300,S
3216,82,ALIAS,E,24,PL,,E 24 PL,,1,377,2432,S
2674,83,911,E,BISHOP WILLIAM P QUINN,ST,,E BISHOP WILLIAM P QUINN ST,,50,100
2679,83,911,E,EAST BISHOP WILLIAM PAUL,DR,,E EAST BISHOP WILLIAM PAUL DR,,50,100
3217,83,ALIAS,E,24,ST,,E 24 ST,,1,333,2400,S
3218,85,ALIAS,E,25,ST,,E 25 ST,,7,499,2500,S
3219,86,ALIAS,E,26,ST,,E 26 ST,,1,499,2600,S
3220,87,ALIAS,E,27,ST,,E 27 ST,,500,519,2700,S
3221,88,ALIAS,E,28,PL,,E 28 PL,,107,199,2832,S
3222,89,ALIAS,E,28,ST,,E 28 ST,,1,99,2800,S
3223,90,ALIAS,E,29,PL,,E 29 PL,,440,516,2932,S
3224,91,ALIAS,E,29,ST,,E 29 ST,,1,527,2900,S
3808,91,HONORARY,E,ELZIE L HIGGINBOTTOM,ST,,E ELZIE L HIGGINBOTTOM ST,,1,34,2900,S
2698,92,911,E,MRS RUTHIE CROCKROM FELKER,DR,,E MRS RUTHIE CROCKROM FELKER DR,,0,50
3225,92,ALIAS,E,30,ST,,E 30 ST,,1,499,3000,S
3848,92,HONORARY,E,RUTHIE CROCKROM FELKER,DR,,E RUTHIE CROCKROM FELKER DR,,1,43,3000,S
3226,93,ALIAS,E,31,DR,,E 31 DR,,600,799,3100,S
3227,94,ALIAS,E,31,PL,,E 31 PL,,426,499,3132,S
3228,95,ALIAS,E,31,ST,,E 31 ST,,1,599,3100,S
3850,95,HONORARY,E,SAMMY DAVIS JR,DR,,E SAMMY DAVIS JR DR,,1,43,3100,S
3229,96,ALIAS,E,32,PL,,E 32 PL,,500,599,3232,S
3230,97,ALIAS,E,32,ST,,E 32 ST,,44,599,3200,S
3231,98,ALIAS,E,33,BLVD,,E 33 BLVD,,100,999,3300,S
3232,99,ALIAS,E,33,PL,,E 33 PL,,400,635,3332,S
2676,100,911,E,CAPT ERNEST A GRIFFIN,PL,,E CAPT ERNEST A GRIFFIN PL,,300,400
3233,100,ALIAS,E,33,ST,,E 33 ST,,1,699,3300,S
3234,101,ALIAS,E,34,ST,,E 34 ST,,1,499,3400,S
2678,102,911,E,DR IRA M MASON,,,E DR IRA M MASON,,400,532
3235,102,ALIAS,E,35,ST,,E 35 ST,,0,699,3500,S
3802,102,HONORARY,E,DR IRA MASON,ST,,E DR IRA MASON ST,,400,499,3500,S
3236,103,ALIAS,E,36,PL,,E 36 PL,,1,599,3632,S
3237,104,ALIAS,E,36,ST,,E 36 ST,,1,799,3600,S
3238,105,ALIAS,E,37,PL,,E 37 PL,,1,799,3732,S
2696,106,911,E,LU PALMER,PL,,E LU PALMER PL,,334,400
3239,106,ALIAS,E,37,ST,,E 37 ST,,116,899,3700,S
3240,107,ALIAS,E,38,PL,,E 38 PL,,500,699,3832,S
3241,108,ALIAS,E,38,ST,,E 38 ST,,1,919,3800,S
3838,108,HONORARY,E,REV E R WILLIAMS SR,DR,,E REV E R WILLIAMS SR DR,,200,399,3800,S
3243,109,ALIAS,E,40,ST,,E 40 ST,,1,999,4000,S
3799,109,HONORARY,E,CHAS O & TRUDIE TRIMM,DR,,E CHAS O & TRUDIE TRIMM DR,,800,821,4000,S
3244,110,ALIAS,E,41,PL,,E 41 PL,,1000,1099,4132,S
3245,111,ALIAS,E,41,ST,,E 41 ST,,1,1089,4100,S
3824,111,HONORARY,E,LAMORRIS PORTER,PL,,E LAMORRIS PORTER PL,,1,73,4100,S
3246,112,ALIAS,E,42,PL,,E 42 PL,,400,1199,4232,S
3247,113,ALIAS,E,42,ST,,E 42 ST,,1,847,4200,S
3807,113,HONORARY,E,ELDER W E WHITEHEAD,ST,,E ELDER W E WHITEHEAD ST,,600,632,4200,S
3248,114,ALIAS,E,43,ST,,E 43 ST,,1,1199,4300,S
3829,114,HONORARY,E,MUDDY WATERS,DR,,E MUDDY WATERS DR,,900,949,4300,S
3249,115,ALIAS,E,44,PL,,E 44 PL,,500,1299,4432,S
3250,116,ALIAS,E,44,ST,,E 44 ST,,1,1199,4400,S
3803,116,HONORARY,E,DR JAMES B STOVALL,DR,,E DR JAMES B STOVALL DR,,600,629,4400,S
3251,117,ALIAS,E,45,PL,,E 45 PL,,400,499,4543,S
3252,118,ALIAS,E,45,ST,,E 45 ST,,1,1199,4500,S
3795,118,HONORARY,E,BISHOP A R POWELL,ST,,E BISHOP A R POWELL ST,,1,34,4500,S
3253,119,ALIAS,E,46,PL,,E 46 PL,,400,599,4632,S
2704,120,911,E,REV JOSEPH WELLS,ST,,E REV JOSEPH WELLS ST,,334,400
3254,120,ALIAS,E,46,ST,,E 46 ST,,1,1299,4600,S
3255,121,ALIAS,E,47,DR,,E 47 DR,,1400,1513,4700,S
3256,122,ALIAS,E,47,PL,,E 47 PL,,800,1399,4732,S
3257,123,ALIAS,E,47,ST,,E 47 ST,,1,1399,4700,S
3258,124,ALIAS,E,48,PL,,E 48 PL,,400,499,4832,S
3259,125,ALIAS,E,48,ST,,E 48 ST,,1,1427,4800,S
3260,126,ALIAS,E,49,DR,,E 49 DR,,1600,1625,4900,S
3261,127,ALIAS,E,49,ST,,E 49 ST,,1,1499,4900,S
3835,127,HONORARY,E,REV A P JACKSON,ST,,E REV A P JACKSON ST,,400,431,4900,S
3262,128,ALIAS,E,50,PL,,E 50 PL,,400,1621,5032,S
3263,129,ALIAS,E,50,ST,,E 50 ST,,45,1699,5000,S
3264,130,ALIAS,E,51,ST,,E 51 ST,,1,799,5100,S
