Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
94,0,,E,31ST,PL,,E 31ST PL,,426,499,3132,S
95,0,,E,31ST,ST,,E 31ST ST,,1,599,3100,S
96,0,,E,32ND,PL,,E 32ND PL,,500,598,3232,S
97,0,,E,32ND,ST,,E 32ND ST,,44,699,3200,S
98,0,,E,33RD,BLVD,,E 33RD BLVD,,100,399,3300,S
99,0,,E,33RD,PL,,E 33RD PL,,400,698,3332,S
100,0,,E,33RD,ST,,E 33RD ST,,1,699,3300,S
101,0,,E,34TH,ST,,E 34TH ST,,1,463,3400,S
102,0,,E,35TH,ST,,E 35TH ST,,0,699,3500,S
103,0,,E,36TH,PL,,E 36TH PL,,1,599,3632,S
104,0,,E,36TH,ST,,E 36TH ST,,1,799,3600,S
105,0,,E,37TH,PL,,E 37TH PL,,1,799,3732,S
106,0,,E,37TH,ST,,E 37TH ST,,1,899,3700,S
107,0,,E,38TH,PL,,E 38TH PL,,500,899,3832,S
108,0,,E,38TH,ST,,E 38TH ST,,1,999,3800,S
109,0,,E,40TH,ST,,E 40TH ST,,1,999,4000,S
110,0,,E,41ST,PL,,E 41ST PL,,1000,1099,4132,S
111,0,,E,41ST,ST,,E 41ST ST,,1,1099,4100,S
112,0,,E,42ND,PL,,E 42ND PL,,400,1199,4232,S
113,0,,E,42ND,ST,,E 42ND ST,,1,899,4200,S
114,0,,E,43RD,ST,,E 43RD ST,,1,1199,4300,S
115,0,,E,44TH,PL,,E 44TH PL,,500,1299,4432,S
116,0,,E,44TH,ST,,E 44TH ST,,1,1199,4400,S
117,0,,E,45TH,PL,,E 45TH PL,,400,499,4543,S
118,0,,E,45TH,ST,,E 45TH ST,,1,1199,4500,S
119,0,,E,46TH,PL,,E 46TH PL,,400,599,4632,S
120,0,,E,46TH,ST,,E 46TH ST,,1,1299,4600,S
121,0,,E,47TH,DR,,E 47TH DR,,1400,1540,4700,S
122,0,,E,47TH,PL,,E 47TH PL,,800,1399,4732,S
123,0,,E,47TH,ST,,E 47TH ST,,1,1399,4700,S
124,0,,E,48TH,PL,,E 48TH PL,,400,499,4832,S
125,0,,E,48TH,ST,,E 48TH ST,,1,1499,4800,S
126,0,,E,49TH,DR,,E 49TH DR,,1600,1699,4900,S
127,0,,E,49TH,ST,,E 49TH ST,,1,1499,4900,S
128,0,,E,50TH,PL,,E 50TH PL,,400,1699,5032,S
129,0,,E,50TH,ST,,E 50TH ST,,45,1699,5000,S
130,0,,E,51ST,ST,,E 51ST ST,,1,799,5100,S
131,0,,E,52ND,PL,,E 52ND PL,,1500,1517,5232,S
132,0,,E,52ND,ST,,E 52ND ST,,100,1599,5200,S
133,0,,E,53RD,DR,,E 53RD DR,,1749,1799,5300,S
134,0,,E,53RD,ST,,E 53RD ST,,1,1748,5300,S
135,0,,E,54TH,PL,,E 54TH PL,,342,1629,5432,S
136,0,,E,54TH,ST,,E 54TH ST,,1,1799,5400,S
137,0,,E,55TH,DR,,E 55TH DR,,732,1899,5500,S
138,0,,E,55TH,PL,,E 55TH PL,,200,1499,5532,S
139,0,,E,55TH,ST,,E 55TH ST,,0,1799,5500,S
140,0,,E,56TH,ST,,E 56TH ST,,1,1799,5600,S
141,0,,E,57TH,DR,,E 57TH DR,,700,1770,5700,S
142,0,,E,57TH,ST,,E 57TH ST,,1,1599,5700,S
143,0,,E,58TH,ST,,E 58TH ST,,1,1435,5800,S
144,0,,E,59TH,ST,,E 59TH ST,,1,1599,5900,S
145,0,,E,60TH,ST,,E 60TH ST,,1,1599,6000,S
146,0,,E,61ST,PL,,E 61ST PL,,800,1499,6132,S
147,0,,E,61ST,ST,,E 61ST ST,,1,1599,6130,S
148,0,,E,62ND,PL,,E 62ND PL,,1400,1435,6232,S
149,0,,E,62ND,ST,,E 62ND ST,,400,1599,6200,S
150,0,,E,63RD,PL,,E 63RD PL,,834,1499,6332,S
151,0,,E,63RD,ST,,E 63RD ST,,1,1599,6300,S
152,0,,E,64TH,PL,,E 64TH PL,,830,899,6432,S
153,0,,E,64TH,ST,,E 64TH ST,,400,1599,6400,S
154,0,,E,65TH,PL,,E 65TH PL,,1400,1599,6532,S
155,0,,E,65TH,ST,,E 65TH ST,,400,1599,6500,S
156,0,,E,66TH,PL,,E 66TH PL,,1,1599,6632,S
157,0,,E,66TH,ST,,E 66TH ST,,1,499,6600,S
158,0,,E,67TH,PL,,E 67TH PL,,1400,1599,6732,S
159,0,,E,67TH,ST,,E 67TH ST,,500,2399,6700,S
160,0,,E,68TH,ST,,E 68TH ST,,1,2399,6800,S
161,0,,E,69TH,PL,,E 69TH PL,,200,1599,6932,S
162,0,,E,69TH,ST,,E 69TH ST,,1,2399,6900,S
163,0,,E,70TH,PL,,E 70TH PL,,342,2399,7032,S
164,0,,E,70TH,ST,,E 70TH ST,,1,2399,7000,S
165,0,,E,71ST,PL,,E 71ST PL,,1200,1999,7132,S
166,0,,E,71ST,ST,,E 71ST ST,,0,2599,7100,S
167,0,,E,72ND,PL,,E 72ND PL,,1200,2599,7232,S
168,0,,E,72ND,ST,,E 72ND ST,,1,2599,7200,S
169,0,,E,73RD,PL,,E 73RD PL,,1500,2549,7332,S
170,0,,E,73RD,ST,,E 73RD ST,,1,2699,7300,S
171,0,,E,74TH,PL,,E 74TH PL,,1500,2641,7432,S
172,0,,E,74TH,ST,,E 74TH ST,,1,2799,7400,S
173,0,,E,75TH,PL,,E 75TH PL,,1030,2739,7532,S
174,0,,E,75TH,ST,,E 75TH ST,,1,2799,7500,S
175,0,,E,76TH,PL,,E 76TH PL,,1101,2841,7632,S
176,0,,E,76TH,ST,,E 76TH ST,,1,2899,7600,S
177,0,,E,77TH,PL,,E 77TH PL,,2800,2841,7732,S
178,0,,E,77TH,ST,,E 77TH ST,,1,3131,7700,S
179,0,,E,78TH,PL,,E 78TH PL,,2900,2950,7832,S
180,0,,E,78TH,ST,,E 78TH ST,,1,3099,7800,S
181,0,,E,79TH,PL,,E 79TH PL,,1100,3099,7932,S
182,0,,E,79TH,ST,,E 79TH ST,,1,3399,7900,S
183,0,,E,80TH,PL,,E 80TH PL,,2932,3027,8032,S
184,0,,E,80TH,ST,,E 80TH ST,,1,3199,8000,S
185,0,,E,81ST,PL,,E 81ST PL,,1100,2989,8132,S
186,0,,E,81ST,ST,,E 81ST ST,,1,3199,8100,S
187,0,,E,82ND,PL,,E 82ND PL,,1102,2989,8232,S
188,0,,E,82ND,ST,,E 82ND ST,,1,3199,8200,S
189,0,,E,83RD,PL,,E 83RD PL,,600,3159,8332,S
190,0,,E,83RD,ST,,E 83RD ST,,1,3399,8300,S
191,0,,E,84TH,PL,,E 84TH PL,,700,1799,8432,S
192,0,,E,84TH,ST,,E 84TH ST,,1,3399,8400,S
193,0,,E,85TH,PL,,E 85TH PL,,1200,1799,8532,S
194,0,,E,85TH,ST,,E 85TH ST,,1,3399,8500,S
195,0,,E,86TH,PL,,E 86TH PL,,520,1799,8632,S
196,0,,E,86TH,ST,,E 86TH ST,,1,3399,8600,S
197,0,,E,87TH,PL,,E 87TH PL,,300,1755,8732,S
198,0,,E,87TH,ST,,E 87TH ST,,1,3899,8700,S
199,0,,E,88TH,PL,,E 88TH PL,,342,1335,8832,S
200,0,,E,88TH,ST,,E 88TH ST,,1,3330,8800,S
201,0,,E,89TH,PL,,E 89TH PL,,1,1399,8932,S
202,0,,E,89TH,ST,,E 89TH ST,,1,3431,8900,S
203,0,,E,8TH,ST,,E 8TH ST,,1,99,800,S
204,0,,E,90TH,PL,,E 90TH PL,,200,1499,9032,S
205,0,,E,90TH,ST,,E 90TH ST,,1,3432,9000,S
206,0,,E,91ST,PL,,E 91ST PL,,400,1799,9132,S
207,0,,E,91ST,ST,,E 91ST ST,,1,3399,9100,S
208,0,,E,92ND,PL,,E 92ND PL,,500,2399,9232,S
209,0,,E,92ND,ST,,E 92ND ST,,1,3332,9200,S
210,0,,E,93RD,CT,,E 93RD CT,,3500,3599,9363,S
211,0,,E,93RD,PL,,E 93RD PL,,1010,1099,9332,S
212,0,,E,93RD,ST,,E 93RD ST,,1,3299,9300,S
213,0,,E,94TH,ST,,E 94TH ST,,1,3599,9400,S
214,0,,E,95TH,PL,,E 95TH PL,,1232,2527,9532,S
215,0,,E,95TH,ST,,E 95TH ST,,1,3699,9500,S
216,0,,E,96TH,PL,,E 96TH PL,,1232,2734,9632,S
217,0,,E,96TH,ST,,E 96TH ST,,100,3699,9600,S
218,0,,E,97TH,PL,,E 97TH PL,,1232,2599,9732,S
219,0,,E,97TH,ST,,E 97TH ST,,0,3731,9700,S
220,0,,E,98TH,PL,,E 98TH PL,,58,2146,9832,S
221,0,,E,98TH,ST,,E 98TH ST,,38,4099,9800,S
222,0,,E,99TH,PL,,E 99TH PL,,1,699,9932,S
223,0,,E,99TH,ST,,E 99TH ST,,100,3799,9900,S
224,0,,E,9TH,ST,,E 9TH ST,,1,99,900,S
225,0,,E,ADAMS,ST,,E ADAMS ST,,1,99,200,S
226,0,,E,ADMINISTRATION,DR,,E ADMINISTRATION DR,,720,799,5620,S
227,0,,E,BALBO,AVE,,E BALBO AVE,,1,99,700,S
228,0,,E,BALBO,DR,,E BALBO DR,,100,399,700,S
229,0,,E,BANKS,ST,,E BANKS ST,,1,81,1334,N
230,0,,E,BELLEVUE,PL,,E BELLEVUE PL,,1,149,1030,N
231,0,,E,BENTON,PL,,E BENTON PL,,1,499,172,N
232,0,,E,BEST,DR,,E BEST DR,,400,731,6000,S
233,0,,E,BISHOP FORD 103RD ST,ER,,E BISHOP FORD 103RD ST ER,,900,1559,0
234,0,,E,BISHOP FORD 130TH ST,ER,,E BISHOP FORD 130TH ST ER,,1282,1499,0
235,0,,E,BISHOP FORD 130TH ST,XR,,E BISHOP FORD 130TH ST XR,,1282,1499,0
236,0,,E,BISHOP FORD EXPY,ER,,E BISHOP FORD EXPY ER,,1400,1599,0
237,0,,E,BISHOP FORD,EXPY,IB,E BISHOP FORD EXPY IB,,1,1029,0
238,0,,E,BISHOP FORD,EXPY,OB,E BISHOP FORD EXPY OB,,100,959,0
239,0,,E,BISHOP FORD STONY ISLAND AV,XR,,E BISHOP FORD STONY ISLAND AV XR,,800,1599,0
240,0,,E,BOWEN,AVE,,E BOWEN AVE,,400,899,4134,S
